,Short Name,Reference
1,Abbott (1974) basspass,"Abbott, I. (1974) Numbers of plant, insect and land bird species on nineteen remote islands in Southern Hemisphere. Biological Journal of the Linnean Society, 6, 143–152."
2,Abbott et al 1977_birds,"Abbott, I., Abbott, L.K. & Grant, P.R. (1977) Comparative ecology of Galápagos ground finches (Geospiza Gould): evaluation of importance of floristic diversity and interspecific competition. Ecological Monographs, 47, 151–184. "
3,Abbott et al 1977_plants,"Abbott, I., Abbott, L.K. & Grant, P.R. (1977) Comparative ecology of Galápagos ground finches (Geospiza Gould): evaluation of importance of floristic diversity and interspecific competition. Ecological Monographs, 47, 151–184. "
4,Abbott&Black1980_plants,"Abbott, I. & Black, R. (1980) Changes in species composition of floras on islets near Perth, western Australia. Journal of Biogeography, 7, 399–410."
5,Adler&Wilson(1985),"Adler, G.H. & Wilson, M.L. (1985) Small mammals on Massachusetts islands: the use of probability functions in clarifying biogeographic relationships. Oecologia, 66, 178–186."
6,Adler(1994),"Adler, G.H. (1994) Avifaunal diversity and endemism on tropical Indian Ocean islands. Journal of Biogeography, 21, 85–95"
7,Amerson 1975_plants,"Amerson, A.B. (1975) Species richness on nondisturbed northwestern Hawaiian Islands. Ecology, 56, 435–444."
8,Amerson(1975)B,"Amerson, A.B. (1975) Species richness on nondisturbed northwestern Hawaiian Islands. Ecology, 56, 435–444."
9,Argano & manicastri (1996) di Tavolara,"Argano, R.M. & Manicastri, C. (1996) Gli Isopodi terrestri delle piccole isole circumsarde (Crustacea, Oniscidea). Biogeographia, 18, 283–298."
10,Argano & manicastri (1996) isl NO,"Argano, R.M. & Manicastri, C. (1996) Gli Isopodi terrestri delle piccole isole circumsarde (Crustacea, Oniscidea). Biogeographia, 18, 283–298."
11,Argano & manicastri (1996) isl SOe,"Argano, R.M. & Manicastri, C. (1996) Gli Isopodi terrestri delle piccole isole circumsarde (Crustacea, Oniscidea). Biogeographia, 18, 283–298."
12,Argano & manicastri (1996) Maddalena,"Argano, R.M. & Manicastri, C. (1996) Gli Isopodi terrestri delle piccole isole circumsarde (Crustacea, Oniscidea). Biogeographia, 18, 283–298."
13,Azeria(2004),"Azeria, E.T. (2004) Community dynamics of insular biotas in space and time. The Dahlak Archipelago, Red Sea, Eritrea and East African coastal forest. Swedish University of Agricultural Sciences, Uppsala."
14,Bengtson (1980) faroe,"Bengtson, S.-A. (1980) Species assemblages and coexistence of Faroe Island ground beetles (Coleoptera: Carabidae). Entomologia Generalis, 6, 251–266."
15,Bengtson&Bloch(1983)BirdsBreeding,"Bengtson, S.-A. & Bloch, D. (1983) Island land bird population densities in relation to island size and habitat quality on the Faroe Islands. Oikos, 41, 507–522"
16,Boulton&Ward(2002) ants,"Boulton, A.M. & Ward, P.S. (2002) Ants. A new island biogeography of the Sea of Cortés (ed. by T.J. Case, M.L. Cody and E. Ezcurra), pp. 112–128. Oxford University Press. New York."
17,Bradstreet&McCracken(1978),"Bradstreet, M.S.W. & McCracken, J.D. (1978) Avifaunal survey St. Lawrence Islands National Park. Unpublished report for Parks Canada, c/o St. Lawrence Islands National Park, Mailorytown Landing Ontario, Canada, p. 343."
18,Brown (1980) chanlbat,"Brown, P. E.  (1980)  Distribution of bats of the California Channel Islands.  Pages 751-756 in D. M. Power, editor.  The California Islands: Proceedings of a multidisciplinary symposium.  Santa Barbara Museum of Natural History, Santa Barbara, California, USA."
19,Cody (1983) bajabl,"Cody, M. (1983) The land birds. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 210–236. University of California Press, Berkeley, CA."
20,Cody (1983) bajabo,"Cody, M. (1983) The land birds. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 210–236. University of California Press, Berkeley, CA."
21,cody et al (1983) bajapl,"Cody, M., Moran, R. & Thompson, H. (1983) The plants. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 49–97. University of California Press, Berkeley, CA."
22,cody et al (1983) bajapo,"Cody, M., Moran, R. & Thompson, H. (1983) The plants. Island biogeography in the Sea of Cortez (ed. by T. Case and M. Cody), pp. 49–97. University of California Press, Berkeley, CA."
23,Conroyetal(1999),"Conroy, C.J., Demboski, J.R. & Cook, J.A. (1999) Mammalian biogeography of the Alexander Archipelago of Alaska: a north temperate nested fauna. Journal of Biogeography, 26, 343–352."
24,Cortiet al(1999),"Corti, C., Masseti, M., Delfino, M. & Pérez-Mellado, V. (1999) Man and herpetofauna of the mediterranean islands. Revista Española de Herpetologia, 13, 83–100."
25,Crowell(1986)Mainelarge,"Crowell, K.L. (1986) A comparison of relict versus equilibrium models for insular mammals of the Gulf of Maine. Biological Journal of the Linnean Society, 28, 37–64."
26,Dapporto&Cini(2007),"Dapporto, L. & Cini A. (2007) Faunal patterns in Tuscan archipelago butterflies: the dominant influence is recent geography not paleogeography. European Journal of Entomology, 104, 497–503."
27,Dapporto&Dennis(2008)Sardinia,"Dapporto, L. & Dennis, R.L.H. (2008) Species richness, rarity and endemicity on Italian offshore islands: complementary signals from island-focused and species-focused analyses. Journal of Biogeography, 35, 664–674."
28,Daudin&deSilva(2007),"Daudin, J. & de Silva, M. (2007) An annotated checklist of the amphibians and terrestrial reptiles of the Grenadines with notes on their local natural history and conservation. Applied Herpetology, 4, 163–175."
29,Dell(1955)snails,"Dell, R.K., 1955. The land Mollusca of the Treasury Islands, Solomon Islands. Pacific Science, 9, 423-429."
30,Dennisetal(2000),"Dennis, R.L.H., Shreeve, T.G., Olivier, A. & Coutsis, J.G. (2000) Contemporary geography dominates butterfly diversity gradients within the Aegean archipelago (Lepidoptera: Papilionoidea, Hesperioidea). Journal of Biogeography, 27, 1365–1383"
31,dexter et al (1988),"Dexter, R.W., Hahnert, W.F., Beatty, J.A. (1988) Distribution of the terrestrial isopoda on islands of Western Lake Erie. The biogeography of the island region of western Lake Erie (ed. by J.F. Downhower), pp. 106–110. Ohio State University Press Columbus, OH."
32,Diamond 1984_birds_cshelf,"Diamond, J.M. (1984) Distributions of New Zealand birds on real and virtual Islands. New Zealand Journal of Ecology, 7, 37–55."
33,Diamond 1984_oceanic,"Diamond, J.M. (1984) Distributions of New Zealand birds on real and virtual Islands. New Zealand Journal of Ecology, 7, 37–55."
34,Duffels&Ewart(1988),"Duffels, J.P. & Ewart, A. (1988) The cicadas of the Fiji, Samoa and Tonga Island, their taxonomy and biogeography (Homoptera: Cicadoidea). Scandinavian Science Press, Leiden, The Netherlands"
